nama,bintang,daerah,kota,wifi,spa,restaurant,kolam_renang,bar,harga,rating,fasilitas,cluster
Algira 6 Dramaga (Guest House),2,Dramaga,Bogor,1,0,0,0,1,206612,8.5,2,3
RedDoorz @ Cisarua Puncak Bogor,1,Puncak,Bogor,0,0,0,0,0,206612,9.8,0,4
OYO 292 D'oasis Mountain Resort,2,Cisarua,Bogor,0,0,0,0,0,961140,10.0,0,3
RedDoorz Plus near Jalan Baru Bogor,2,Tanah Sareal,Bogor,1,0,0,0,0,144628,8.6,1,3
Villa Tjokro,2,Cisarua,Bogor,1,0,1,1,1,557851,8.3,4,2
OYO 209 Permata Hati Resort & Organic Farm,2,Cisarua,Bogor,1,0,0,0,0,570496,10.0,1,3
Resort Highlander,0,Taman Sari,Bogor,0,1,1,1,0,413223,2.4,3,4
Airy Sentul Raya Jakarta KM 49.5 Bogor,3,Sukaraja,Bogor,1,0,1,1,0,446657,8.4,3,2
Villa Yosky,0,Bogor Barat,Bogor,1,0,0,1,0,909091,10.0,2,4
Kamar Keluarga Bogor,0,Dramaga,Bogor,1,0,0,0,0,148760,9.6,1,4
RedDoorz @ Pandu Raya Bogor,2,Bogor Utara,Bogor,1,0,0,0,0,194214,10.0,1,3
Hotel Permata Alam,3,Cisarua,Bogor,1,0,1,1,0,181818,6.8,3,2
RedDoorz near Stasiun Kota Bogor,1,Bogor,Bogor,0,0,0,0,0,227272,10.0,0,4
Lagoon Guest House,2,Bogor Tengah,Bogor,1,0,0,0,0,190082,8.8,1,3
Nirmala Resort,2,Tanah Sareal,Bogor,1,0,0,0,0,161157,4.4,1,3
Hotel Asri Cirebon,3,Lemahwungkuk,Cirebon,1,0,0,1,1,322314,8.8,3,2
Cordela Hotel Cirebon,2,Kesambi,Cirebon,1,1,1,0,1,300000,8.9,4,2
C Hotel Cirebon,3,Kesambi,Cirebon,1,0,0,0,0,156942,8.2,1,3
Hotel NEO Cirebon,3,Kejaksan,Cirebon,1,1,1,0,1,255537,8.7,4,2
Aston Cirebon Hotel & Convention Center,4,Kedawung,Cirebon,1,1,1,1,1,968000,8.8,5,1
Metland Hotel Cirebon,3,Kejaksan,Cirebon,1,1,1,0,1,371901,8.7,4,2
Swiss-Belhotel Cirebon,4,Kesambi,Cirebon,1,1,1,1,1,607438,8.8,5,1
Hotel Citradream Cirebon,2,Kesambi,Cirebon,1,0,1,0,0,272727,8.5,2,3
Seaview Cottage Cirebon Waterland,3,Lemahwungkuk,Cirebon,1,0,1,1,1,619835,7.6,4,2
Airy Eco Stasiun Cirebon Siliwangi 87,1,Kejaksan,Cirebon,1,0,0,0,0,124586,6.4,1,4
The Luxton Cirebon Hotel And Convention,4,Kejaksan,Cirebon,1,1,1,1,1,1818181,9.3,5,1
Desa Alamanis,4,Beber,Cirebon,1,1,1,1,1,730579,8.8,5,1
Apita Express Hotel,0,Kesambi,Cirebon,1,0,1,0,0,165289,8.3,2,4
RedDoorz Plus near Alun Alun Kejaksan Cirebon,3,Kejaksan,Cirebon,1,0,0,0,0,103305,9.1,1,3
Verse Hotel Cirebon,3,Kedawung,Cirebon,1,1,1,0,0,304132,8.4,3,2
Vinotel Cirebon,0,Kesambi,Cirebon,1,1,1,0,0,198347,8.6,3,4
BATIQA Hotel Cirebon,3,Kesambi,Cirebon,1,1,1,0,0,330578,9.0,3,2
Hotel Sampurna,0,Kejaksan,Cirebon,1,0,0,0,0,181818,9.0,1,4
Amaris Hotel Cirebon,2,Kejaksan,Cirebon,1,0,0,0,0,296529,8.7,1,3
Hotel Prima Cirebon,3,Kejaksan,Cirebon,1,0,1,1,0,364608,8.4,3,2
Size Inn Hotel,2,Kedawung,Cirebon,1,0,1,0,0,169421,8.8,2,3
Hotel Tryas,0,Kejaksan,Cirebon,1,0,1,0,0,247934,8.6,2,4
Dewanti Hotel,2,Kejaksan,Cirebon,1,0,0,0,0,247935,8.4,1,3
Hotel Lotus Cirebon,1,Kesambi,Cirebon,1,0,1,0,0,239669,8.2,2,4
Hotel Satria Cirebon,0,Harjamukti,Cirebon,1,1,1,0,1,198347,8.2,4,4
Ono's Hotel,2,Kejaksan,Cirebon,1,0,1,0,0,239235,9.0,2,3
Hotel Santika Cirebon,3,Kejaksan,Cirebon,1,0,1,1,1,578512,8.6,4,2
RedDoorz near Gua Sunyaragi,2,Kedawung,Cirebon,1,0,0,0,0,148760,8.2,1,3
Hotel Amanah Benua,0,Harjamukti,Cirebon,1,0,1,0,1,165289,8.6,3,4
Hotel Intan Cirebon,3,Pekalipan,Cirebon,1,1,1,1,0,272727,7.8,4,2
ibis budget Cirebon,2,Kejaksan,Cirebon,1,0,0,0,0,262034,10.0,1,3
Horton Hotel,0,Kejaksan,Cirebon,1,0,1,0,1,198347,8.5,3,4
Sutan Raja Hotel,2,Kedawung,Cirebon,1,1,1,0,0,318182,7.7,3,2
Hotel Wisma Sunyaragi,1,Kesambi,Cirebon,1,0,1,1,0,206612,7.8,3,4
Grand Dian Boutique Hotel Cirebon,3,Kejaksan,Cirebon,1,1,1,0,1,210413,8.6,4,2
Tenacity Guest House,0,Cirebon,Cirebon,1,0,0,0,0,121901,8.2,1,4
Hotel Santun Cirebon Syariah,2,Sumber,Cirebon,1,0,0,0,0,194215,8.5,1,3
Airy Syariah CSB Garuda Raya 20 Cirebon,1,Kesambi,Cirebon,1,0,0,0,0,135328,8.6,1,4
Virtual Rooms Cirebon Hotel Taman Pemuda 88,2,Kesambi,Cirebon,1,0,1,0,1,185950,9.2,3,2
DENOFE HOUSE,0,Kesambi,Cirebon,1,0,0,0,0,185950,8.7,1,4
Sapadia Hotel Cirebon,2,Harjamukti,Cirebon,1,1,1,0,0,293631,6.9,3,2
Hotel The Radiant,2,Beber,Cirebon,1,0,1,1,0,338843,7.4,3,2
Pia Hotel Cirebon,2,Kejaksan,Cirebon,1,0,1,0,1,190083,7.8,3,2
Hotel Priangan Cirebon,1,Kejaksan,Cirebon,1,0,0,0,0,256198,8.3,1,4
Cirebon Plaza Hotel,2,Kejaksan,Cirebon,1,0,1,0,0,272727,6.9,2,3
Airy Eco Syariah Kedawung Sakura 10 Cirebon,1,Kedawung,Cirebon,1,0,0,0,0,140851,8.8,1,4
Wisma Bahtera,0,Kejaksan,Cirebon,1,0,1,0,1,194463,7.9,3,4
Airy Alun Alun Pamitran Cirebon,3,Kejaksan,Cirebon,1,0,1,0,0,298016,8.4,2,3
Airy Eco Stasiun Cirebon Kapten Damsur 15,1,Kejaksan,Cirebon,1,0,0,0,0,194132,9.0,1,4
Hotel Permata Hijau Cirebon,0,Kejaksan,Cirebon,0,0,1,0,0,247934,7.9,1,4
Airy Eco Kejaksaan Cangkring 7 Cirebon,1,Kejaksan,Cirebon,1,0,0,0,0,151136,10.0,1,4
Airy Eco Syariah CSB Pecilon Indah Satu 3 Cirebon,1,Kedawung,Cirebon,1,0,0,0,0,148264,7.2,1,4
Airy Grage City Ahmad Yani 39 Cirebon,3,Harjamukti,Cirebon,1,0,1,0,0,213057,8.4,2,3
Airy Sukapura DR Wahidin 52 Cirebon,1,Kejaksan,Cirebon,1,0,1,0,1,192119,6.0,3,4
Kos Pondok Mas,0,Kejaksan,Cirebon,1,0,0,0,0,157024,7.8,1,4
Langensari Hotel Cirebon,1,Kejaksan,Cirebon,1,0,0,0,0,289256,9.1,1,4
Hotel Srikandi Cirebon,0,Kedawung,Cirebon,1,0,0,0,0,166261,9.2,1,4
Villa Alvina Cirebon,0,Dukupuntang,Cirebon,0,0,0,0,0,152893,7.6,0,4
RedDoorz near Kejaksan Station Cirebon,2,Kejaksan,Cirebon,1,0,0,0,0,144628,7.6,1,3
RedDoorz Plus @ Tuparev Cirebon,3,Kedawung,Cirebon,1,0,0,0,0,165289,8.7,1,3
RedDoorz near Pasar Pagi Cirebon,2,Kejaksan,Cirebon,1,0,0,0,0,148760,6.4,1,3
Smile Hotel,2,Kedawung,Cirebon,1,0,0,0,0,165289,7.9,1,3
Qintani Hotel Cirebon,3,Kedawung,Cirebon,1,1,0,0,0,181818,10.0,2,3
Red Planet Bekasi,2,Bekasi Timur,Bekasi,1,0,1,0,0,247940,8.5,2,3
HARRIS Hotel & Conventions Bekasi,4,Bekasi Utara,Bekasi,1,1,1,1,1,568595,9.2,5,1
Win Grand Hotel,4,Tambun Selatan,Bekasi,1,1,1,0,1,215702,7.9,4,1
The Celecton Hotel Jababeka,4,Cikarang,Bekasi,1,1,1,1,1,289256,9.2,5,1
Literooms Bekasi,3,Bekasi Selatan,Bekasi,1,0,1,1,1,223140,9.2,4,2
Horison Ultima Bekasi,4,Bekasi Selatan,Bekasi,1,1,1,1,1,577712,9.1,5,1
The Green Hotel Bekasi,2,Bekasi Selatan,Bekasi,1,0,1,0,0,272727,8.5,2,3
favehotel Ahmad Yani Bekasi,3,Bekasi,Bekasi,1,0,1,1,1,328000,8.8,4,2
Grand Zuri Jababeka Hotel,4,Cikarang,Bekasi,1,1,1,1,1,289256,9.0,5,1
BATIQA Hotel Jababeka,3,Cikarang,Bekasi,1,1,1,0,1,264462,9.2,4,2
Hotel Santika Mega City Bekasi,3,Bekasi Selatan,Bekasi,1,1,1,0,1,555785,8.9,4,2
Hotel Santika Premiere Kota Harapan Indah Bekasi,4,Medan Satria,Bekasi,1,1,1,1,0,557851,9.0,4,1
favehotel Jababeka Cikarang,3,Cikarang,Bekasi,1,0,1,0,0,238000,8.6,2,3
Aston Imperial Bekasi Hotel & Conference Center,4,Bekasi Selatan,Bekasi,1,0,1,1,1,565200,8.7,4,1
Merapi Merbabu Hotel Bekasi,4,Rawalumbu,Bekasi,1,0,1,1,0,429752,8.1,3,2
Grand Cikarang Hotel,3,Cikarang,Bekasi,1,1,1,1,1,196281,8.1,5,1
Amaris Hotel Bekasi Barat,2,Bekasi Selatan,Bekasi,1,0,1,0,0,388429,8.1,2,3
Hotel 88 Bekasi,2,Rawalumbu,Bekasi,1,0,1,0,0,264463,9.0,2,3
Fastrooms Bekasi,3,Bekasi Selatan,Bekasi,1,0,0,1,0,223760,8.8,2,3
Igloo Hotel,3,Cikarang,Bekasi,1,0,0,0,1,235537,9.0,2,3
Airy Eco Syariah Kalimalang KH Noer Ali Bekasi,1,Bekasi Barat,Bekasi,1,0,0,0,0,123735,8.4,1,4
Primebiz Cikarang,3,Cikarang,Bekasi,1,1,1,1,1,272727,8.8,5,1
@Hom Tambun,3,Tambun Selatan,Bekasi,1,1,1,1,0,330579,8.4,4,2
MyRooms Bekasi,3,Bekasi Selatan,Bekasi,1,0,1,1,0,216694,9.1,3,2
Harper Cikarang,3,Cikarang,Bekasi,1,0,1,1,1,388000,9.4,4,2
Swiss-Belinn Cibitung,3,Cibitung,Bekasi,1,1,1,1,1,342975,10.0,5,1
Citra Inn Hotel International & Restaurant,3,Cikarang,Bekasi,1,1,1,0,1,239669,8.6,4,2
The Regia Tambun,2,Tambun Selatan,Bekasi,1,0,0,0,0,214876,8.9,1,3
Eros Hotel Apartement,3,Bekasi Selatan,Bekasi,1,0,1,1,0,219008,6.8,3,2
Hotel Sahid Jaya Lippo Cikarang,5,Cikarang,Bekasi,1,1,1,1,1,619835,7.4,5,1
Hotel Mazaya,2,Bekasi Selatan,Bekasi,1,0,1,0,0,231405,8.0,2,3
OYO Flagship 125 Appartel Grand Dhika City,2,Bekasi Timur,Bekasi,1,0,1,1,0,219421,8.8,3,2
OYO 258 Flagship The Enviro Cikarang,2,Cikarang,Bekasi,1,0,0,0,0,863640,9.3,1,3
President Executive Club,4,Cikarang,Bekasi,1,1,1,0,1,289256,9.0,4,1
RedDoorz Premium @ Igloo Hotel,3,Cikarang,Bekasi,1,0,0,0,1,219008,9.7,2,3
Sakura Park Hotel & Residence,4,Cikarang,Bekasi,1,1,1,1,1,495867,8.7,5,1
Celecton Blue Cikarang,3,Cikarang,Bekasi,1,0,1,0,1,247933,9.1,3,2
RedDoorz Plus near Stasiun Bekasi,3,Bekasi Timur,Bekasi,0,0,0,0,0,202479,10.0,0,3
RedDoorz Plus @ Cikarang,3,Cikarang,Bekasi,0,0,0,0,0,144628,9.0,0,3
Gran Surya Hotel Cikarang,2,Cikarang,Bekasi,0,0,0,0,0,166500,9.6,0,3
Hotel Santika Cikarang,3,Cikarang,Bekasi,1,0,1,1,0,380661,8.5,3,2
Metro Hotel,3,Cikarang,Bekasi,1,1,1,1,0,235537,8.1,4,2
Holiday Inn Cikarang Jababeka,4,Bekasi,Bekasi,1,1,0,1,1,788252,9.4,4,1
Two Nine Apartment,2,Bekasi Selatan,Bekasi,1,0,0,0,0,239669,7.7,1,3
ibis Budget Cikarang Festival,3,Cikarang,Bekasi,1,0,0,0,0,270613,8.6,1,3
Airy Cikarang Cibarusah Raya Ruko CBC Bekasi,1,Cikarang,Bekasi,1,0,0,0,0,195417,7.7,1,4
Mini Lux,2,Cikarang,Bekasi,1,0,0,0,0,173554,10.0,1,3
RedDoorz near Metropolitan Mall Bekasi,2,Bekasi Selatan,Bekasi,1,0,0,0,0,165289,5.2,1,3
Melati Jakasampurna Guesthouse,1,Bekasi Barat,Bekasi,0,0,0,0,0,178154,7.6,0,4
RedDoorz @ Jatiwaringin,2,Pondok Gede,Bekasi,1,0,0,0,0,238636,8.8,1,3
Indoluxe Rent Apartement Bekasi,2,Bekasi Selatan,Bekasi,1,0,0,1,0,268595,6.8,2,3
Marzeta Hotel Apartment,2,Bekasi Selatan,Bekasi,1,1,1,1,0,249587,7.1,4,2
Ibis Styles Cikarang,3,Cikarang,Bekasi,1,1,1,0,1,276390,8.5,4,2
Java Palace Hotel,4,Cikarang,Bekasi,1,1,1,1,0,528926,8.6,4,1
RedDoorz @ Kawasan Industri Jababeka,2,Cikarang,Bekasi,1,0,0,0,0,169421,9.3,1,3
The Margo Hotel,4,Beji,Depok,1,0,1,1,1,750000,9.1,4,1
Airy Beji Margonda Raya 88 Depok,1,Beji,Depok,1,0,1,1,0,227355,6.0,3,4
favehotel Margonda,3,Beji,Depok,1,0,1,0,0,348000,9.0,2,3
Savero Hotel Depok,3,Beji,Depok,1,1,1,0,1,551240,9.4,4,2
RedDoorz near Margo City,2,Beji,Depok,1,0,0,0,0,148760,9.3,1,3
Margonda Residence 2,3,Beji,Depok,1,0,1,1,1,165289,8.0,4,2
Apartmen Margonda Residence IV & V By LzyRoom,3,Beji,Depok,0,0,0,1,0,196528,8.7,1,3
Comfortable Room Depok,3,Beji,Depok,0,1,1,1,1,198347,7.8,4,2
DSY Apartment Margonda Residence 4,2,Beji,Depok,0,1,1,1,0,231405,7.8,3,2
Margonda Residence 3,2,Beji,Depok,1,0,0,1,0,214876,7.0,2,3
Margonda Residence 45,0,Beji,Depok,0,0,0,1,0,190083,6.0,1,4
DSY Apartment Margonda Residence 2,2,Beji,Depok,0,1,1,1,0,223140,8.0,3,2
Mares 3 By Ria,1,Beji,Depok,0,0,0,0,0,206612,5.4,0,4
Bijak Panorama,0,Beji,Depok,1,0,1,1,0,264463,7.0,3,4
RedDoorz @ Apartement Margonda Residence Tower 2,2,Beji,Depok,1,0,0,0,0,247107,9.7,1,3
Apartemen Margonda Residence 2 By Hoostia,3,Beji,Depok,0,0,1,0,0,223140,2.8,1,3
DSY Apartment Margonda Residence 3,2,Beji,Depok,0,1,1,1,0,233884,8.4,3,2
WJY Apartment Margonda Residence 5,2,Beji,Depok,1,0,1,1,1,207345,4.4,4,2
DSY Apartment Margonda Residence 5,2,Beji,Depok,0,1,1,1,0,256198,8.1,3,2
Surya Kencana Seaside Hotel,3,Pantai Barat,Pangandaran,1,0,1,1,0,368182,8.3,3,2
Sun In Pangandaran Hotel,3,Pantai Timur,Pangandaran,1,0,1,1,1,367253,8.4,4,2
d'BILZ Hotel,2,Pantai Barat,Pangandaran,1,0,1,1,0,413223,7.8,3,2
Nyiur Resort Hotel,3,Pantai Barat,Pangandaran,1,1,1,1,1,283058,8.7,5,1
Hotel Grand Pacific Pangandaran,2,Panunjang,Pangandaran,1,0,1,1,0,318272,8.6,3,2
Pantai Indah Barat Hotel Pangandaran,3,Pantai Timur,Pangandaran,1,0,0,1,0,495868,8.5,2,3
Holiday Beach Inn,0,Pantai Barat,Pangandaran,1,0,1,1,0,263636,8.6,3,4
In Out Hotel Pangandaran,2,Pantai Barat,Pangandaran,1,0,0,0,0,157025,8.6,1,3
Ahlen Pangandaran,0,Pantai Timur,Pangandaran,1,1,1,0,0,165289,8.6,3,4
Uni Beach Hotel,0,Pananjung,Pangandaran,1,0,0,1,0,330578,8.9,2,4
Nyiur Indah Beach Hotel,3,Pantai Barat,Pangandaran,1,0,1,1,0,385026,9.5,3,2
Krisna Beach Hotel 2 Pangandaran,3,Pantai Barat,Pangandaran,1,0,1,1,0,165289,7.4,3,2
OYO 370 Hotel Sofia Pangandaran,2,Pangandaran,Pangandaran,1,0,0,1,0,329840,10.0,2,3
Hotel Paluvi,1,Pananjung,Pangandaran,1,0,1,0,0,264463,7.3,2,4
HAU Eco Lodges Citumang,3,Parigi,Pangandaran,0,0,1,1,0,588843,10.0,2,3
Pantai Indah Timur Resort Hotel Pangandaran,3,Pantai Timur,Pangandaran,1,0,0,1,0,826446,8.2,2,3
The Arnawa Hotel,2,Pantai Barat,Pangandaran,1,0,1,1,0,537190,8.4,3,2
Allamanda Beach Hotel dan Bungalow,0,Pananjung,Pangandaran,0,0,0,0,0,210744,9.6,0,4
Eunike Surf Cottage,3,Cijulang,Pangandaran,0,0,0,0,0,268595,6.6,0,3
The Ermaja's Pavilion Boutique Hotel & Villas,0,Cijulang,Pangandaran,1,0,0,0,1,322314,8.5,2,4
Hotel Pamordian,0,Pantai Timur,Pangandaran,1,0,0,0,0,206612,7.2,1,4
Komodo Island Hotel,0,Pananjung,Pangandaran,1,0,0,0,0,141176,7.9,1,4
Hotel Grand Mutiara,2,Pananjung,Pangandaran,1,1,1,1,0,378112,8.6,4,2
Homestay 28,0,Parigi,Pangandaran,1,1,1,0,0,144628,9.8,3,4
Hotel Tirta Bahari,0,Cijulang,Pangandaran,0,0,1,0,0,340909,6.1,1,4
Pondok RB Putera,0,Pantai Barat,Pangandaran,0,0,0,0,0,550964,2.4,0,4
Villa Angela,0,Pananjung,Pangandaran,1,0,0,0,0,242975,9.2,1,4
FATIH Homestay,0,Panunjang,Pangandaran,0,0,0,0,0,619835,10.0,0,4
Amazon Bungalow & Cottages,1,Cijulang,Pangandaran,1,1,1,0,0,309917,9.4,3,4
Hotel Pantai Jaya,2,Panunjang,Pangandaran,0,0,0,1,0,371901,8.8,1,3
Fortuna Hotel,3,Panunjang,Pangandaran,1,0,1,1,0,330579,6.9,3,2
Hotel Pantai Sri Rahayu,3,Pantai Timur,Pangandaran,0,0,0,1,0,371901,6.8,1,3
MaxOneHotels at Bounty Sukabumi,3,Cikole,Sukabumi,1,1,1,1,0,330578,8.6,4,2
Anugrah Hotel Sukabumi,4,Cikole,Sukabumi,1,1,1,1,1,289256,8.8,5,1
Airy Karamat Bhayangkara 127 Sukabumi,3,Gunung Puyuh,Sukabumi,1,0,1,0,0,233966,7.2,2,3
Horison Sukabumi,3,Cikole,Sukabumi,1,1,1,1,1,355372,9.0,5,1
Hotel Permata Hijau Sukabumi,1,Gunung Puyuh,Sukabumi,1,0,1,1,0,235537,7.9,3,4
Balcony Hotel,3,Cikole,Sukabumi,1,0,1,0,1,268595,9.0,3,2
Hotel Augusta Pelabuhan Ratu,2,Pelabuhan Ratu,Sukabumi,1,1,1,1,0,227273,7.4,4,2
Hotel Augusta Sukabumi,2,Cicantayan,Sukabumi,1,0,1,1,0,177273,8.2,3,2
Sparks Odeon Sukabumi,3,Warudoyong,Sukabumi,1,1,1,0,0,354545,8.9,3,2
77 Sunset Plaza Hotel,0,Cisolok,Sukabumi,1,0,1,1,0,511570,8.4,3,4
Grand Inna Samudra Beach,4,Cikakak,Sukabumi,1,1,1,1,1,551487,8.4,5,1
Pondok Alief Ujung Genteng,0,Ciracap,Sukabumi,0,0,0,0,0,165289,8.4,0,4
Iscalton Courteous Hotel,2,Cicurug,Sukabumi,1,1,1,0,0,254545,7.4,3,2
Karang Aji Beach Villa,0,Cisolok,Sukabumi,0,1,1,1,1,206612,5.8,4,4
Wisma Mila Tepi Pantai Karang Hawu,1,Cisolok,Sukabumi,0,0,0,0,0,280402,8.6,0,4
Ocean Queen Resort,3,Cisolok,Sukabumi,1,1,1,1,1,516529,8.0,5,1
Bayu Amrta Hotel,2,Pelabuhan Ratu,Sukabumi,1,0,1,1,0,329752,6.8,3,2
RedDoorz near Alun Alun Kota Sukabumi,2,Cikole,Sukabumi,1,0,0,0,0,177685,9.3,1,3
Hotel Citepus Indah,1,Pelabuhan Ratu,Sukabumi,1,0,0,0,0,238199,4.8,1,4
Hotel NEW Grand Desa Resort Cimaja,1,Cikakak,Sukabumi,1,0,1,1,0,233021,6.8,3,4
Hotel Lagusa,3,Pelabuhan Ratu,Sukabumi,1,0,1,1,1,247934,7.5,4,2
Wisma Pantai Citepus (Tepi Pantai),1,Pelabuhan Ratu,Sukabumi,1,0,0,0,0,319756,9.4,1,4
Tirtagangga Hotel,3,Tarogong Kaler,Garut,1,0,1,1,0,495868,8.5,3,2
Kamojang Green Hotel & Resort,4,Samarang,Garut,1,1,1,1,1,652892,8.2,5,1
Kampung Sampireun Resort & Spa,4,Samarang,Garut,1,1,1,1,0,504298,8.4,4,1
favehotel Cimanuk Garut,3,Tarogong Kidul,Garut,1,0,1,1,1,445000,8.6,4,2
Kampung Sumber Alam Garut,3,Tarogong Kaler,Garut,1,1,1,1,0,578512,8.3,4,2
Harmoni Hotel Garut,3,Tarogong Kaler,Garut,1,0,1,1,1,464669,9.2,4,2
Papandayan Camping Ground,0,Cisurupan,Garut,0,0,0,0,0,206612,7.4,0,4
Sabda Alam Hotel & Resort,3,Tarogong Kaler,Garut,1,1,1,1,0,891736,7.6,4,2
Familie Ayu Garut,0,Garut,Garut,1,1,0,0,0,165289,9.3,2,4
Hotel Ramayana Garut,3,Tarogong Kidul,Garut,1,1,0,0,0,289256,7.7,2,3
Hotel Alamanda Garut,2,Tarogong Kidul,Garut,0,0,0,0,1,205785,6.3,1,3
Hotel Bintang Redannte,3,Tarogong Kaler,Garut,1,0,1,0,0,268595,8.2,2,3
Bukit Alamanda Resort & Resto,3,Tarogong Kidul,Garut,0,1,1,1,1,356694,7.4,4,2
Green Hills Garut by Desti,2,Tarogong Kidul,Garut,0,0,0,0,0,289256,8.0,0,3
Queen Familly Villa Syari'ah,3,Garut,Garut,1,0,0,0,0,475207,9.2,1,3
Alana Family Villa,2,Tarogong Kidul,Garut,1,0,0,0,0,363636,9.8,1,3
Hotel Tiara Rex,2,Tarogong Kidul,Garut,1,0,1,0,0,330579,8.0,2,3
Penginapan Citra Agung Pantai Santolo,1,Cikelet,Garut,0,0,0,0,0,123967,8.8,0,4
Hotel Augusta Garut,0,Tarogong Kaler,Garut,1,0,1,0,0,290909,7.3,2,4
Villa Aleyra,0,Tarogong Kidul,Garut,1,0,1,0,0,314050,9.0,2,4
Green Hills Resort Blok B - 24 Syariah,3,Tarogong Kidul,Garut,0,0,0,1,0,371901,10.0,1,3
Suminar Hotel,0,Tarogong Kidul,Garut,1,0,1,0,1,247934,7.7,3,4
Penginapan Karanglaut Sayangheulang,2,Pameungpeuk,Garut,0,0,0,0,0,74380,7.0,0,3
Penginapan Karanglaut Santolo,0,Cikelet,Garut,0,0,0,0,0,136364,2.0,0,4
Balinda Homestay,1,Pameungpeuk,Garut,1,0,0,0,0,206612,5.6,1,4
Darajat Homestay,2,Pasirwangi,Garut,0,0,0,0,0,1157025,7.2,0,3
Hotel Asri Sumedang,3,Sumedang Utara,Sumedang,1,0,0,0,1,376033,8.9,2,3
Easton Park Apartment By Kamasi Room,0,Jatinangor,Sumedang,0,0,0,1,0,185950,10.0,1,4
Jatinangor Hotel & Restaurant,2,Jatinangor,Sumedang,1,0,1,0,0,308678,6.3,2,3
Sahid Skyland City Jatinangor,3,Jatinangor,Sumedang,1,1,1,1,1,412397,8.6,5,1
Sapphire Home Hotel,2,Sumedang Utara,Sumedang,1,1,1,0,1,305785,6.8,4,2
Airy UNPAD Jatinangor KM 21.5 Sumedang,1,Jatinangor,Sumedang,1,0,0,0,0,250743,8.8,1,4
Easton Park Apartment Jatinangor by Diajeng Diah,0,Jatinangor,Sumedang,0,1,1,1,0,185950,5.8,3,4
City Edge Guest House,1,Jatinangor,Sumedang,1,0,1,0,0,315794,8.6,2,4
RedDoorz near Jatinangor Town Square,2,Jatinangor,Sumedang,1,0,0,0,0,126446,10.0,1,3
Amory Boutique Hotel,0,Sumedang Utara,Sumedang,1,0,1,0,0,309917,9.0,2,4
D'Kost 265 Guest House Manage by Arilla,0,Jatinangor,Sumedang,1,0,0,0,0,247934,7.5,1,4
Pinewood Apartment By Muslim,1,Jatinangor,Sumedang,0,0,0,0,0,216860,10.0,0,4
Easton Park Apartment By WATI,2,Jatinangor,Sumedang,0,0,0,1,0,216364,5.0,1,3
OYO Flagship 214 Appartel Taman Melati Jatinangor,2,Jatinangor,Sumedang,1,0,0,0,0,527489,8.8,1,3
Easton Park Apartment Jatinangor By Ricky 7-RM,2,Jatinangor,Sumedang,1,0,1,1,1,247934,7.8,4,2
Pinewood Apartment By Fery,1,Jatinangor,Sumedang,0,0,0,1,0,261074,5.2,1,4
Hotel Rangga Inn,3,Pasirkareumbi,Subang,1,1,1,0,1,163636,8.1,4,2
Paris Day Pamanukan,1,Pamanukan,Subang,1,0,1,0,0,293388,8.1,2,4
favehotel Subang,3,Karanganyar,Subang,1,0,1,0,1,568594,8.7,3,2
Grant Hotel Subang,3,Karanganyar,Subang,1,0,1,0,1,252066,8.4,3,2
Tea Garden Resort,4,Sagalaherang,Subang,1,1,1,1,0,660000,7.2,4,1
Hotel Lotus Subang,0,Cigadung,Subang,1,0,0,0,0,256197,9.1,1,4
Villa AlBadar,0,Ciater,Subang,1,0,1,1,0,619835,6.3,3,4
Marbella Twin Waterfall Resort Ciater,4,Jalan Cagak,Subang,1,0,1,0,0,379339,7.8,2,3
Nissa Rahmi Homestay,0,Subang,Subang,1,0,0,0,0,153519,9.6,1,4
Rorompok Homan,1,Kasomalang,Subang,1,0,1,0,0,333678,8.4,2,4
Villa ChavaMinerva Kayu - Ciater Highland Resort (Bandung),3,Ciater,Subang,0,1,0,0,0,734078,8.0,1,3
Villa Sasky Ciater Highland Resort,1,Ciater,Subang,0,0,0,1,0,826446,6.1,1,4
Villa ChavaMinerva Dima - Ciater Highland Resort (Bandung),3,Ciater,Subang,0,1,0,0,0,935828,8.8,1,3
Villa Ranchero 7 - Ciater Highland Resort,2,Ciater,Subang,0,0,1,1,0,665251,6.2,2,3
Villa Ciater Highland,0,Ciater,Subang,0,0,0,1,0,991736,8.7,1,4
RedDoorz Resort @ Ciater,1,Ciater,Subang,0,0,0,1,0,392562,6.0,1,4
Horison Tasikmalaya,4,Tasikmalaya,Tasikmalaya,1,0,1,1,1,442149,8.9,4,1
favehotel Tasikmalaya,3,Cipedes,Tasikmalaya,1,0,1,0,0,328000,9.4,2,3
Shanrilla Hotel,0,Cihideung,Tasikmalaya,1,1,1,0,0,190083,7.8,3,4
Hotel Asri Tasikmalaya,2,Cihideung,Tasikmalaya,1,0,1,1,1,297934,9.0,4,2
City Hotel Tasikmalaya,3,Cihideung,Tasikmalaya,1,0,1,0,0,289256,7.6,2,3
Flamboyan Hotel Tasikmalaya,3,Tawang,Tasikmalaya,1,0,1,0,0,338843,8.3,2,3
Hotel Santika Tasikmalaya,3,Cihideung,Tasikmalaya,1,0,1,1,1,458429,8.9,4,2
Grand Metro Hotel Tasikmalaya,3,Cihideung,Tasikmalaya,1,0,1,0,1,458678,9.0,3,2
